family,direction,split,regime_mult,effective_stop,n,win_rate,avg_net,total_net,pf,hard_stop%,avg_bars
C1,long,IS,0.6,0.42,714,45.0,-0.0528,-37.689,0.68,22.7,26.5
C1,long,OOS,0.6,0.42,303,48.5,-0.0501,-15.17,0.74,27.4,25.8
C1,long,IS,0.8,0.56,714,46.5,-0.0428,-30.587,0.74,14.6,27.9
C1,long,OOS,0.8,0.56,303,49.5,-0.0513,-15.537,0.74,18.2,27.3
C1,long,IS,1.0,0.7,714,47.2,-0.0469,-33.493,0.72,10.2,28.6
C1,long,OOS,1.0,0.7,303,50.5,-0.0526,-15.941,0.74,13.9,28.1
C1,long,IS,1.2,0.84,714,47.3,-0.0466,-33.256,0.73,7.0,29.1
C1,long,OOS,1.2,0.84,303,50.8,-0.0572,-17.346,0.72,10.2,28.6
C1,long,IS,1.3,0.91,714,47.6,-0.0454,-32.405,0.73,5.7,29.3
C1,long,OOS,1.3,0.91,303,50.8,-0.0573,-17.36,0.72,8.6,28.9
C1,long,IS,1.5,1.05,714,47.6,-0.0465,-33.181,0.73,4.2,29.5
C1,long,OOS,1.5,1.05,303,50.8,-0.0661,-20.023,0.69,6.6,29.1
C1,long,IS,1.8,1.26,714,47.6,-0.0467,-33.367,0.73,3.2,29.7
C1,long,OOS,1.8,1.26,303,50.8,-0.0683,-20.703,0.69,5.0,29.3
C1,long,IS,2.0,1.4,714,47.6,-0.0486,-34.702,0.72,2.0,29.8
C1,long,OOS,2.0,1.4,303,50.8,-0.069,-20.895,0.68,4.0,29.5
