family,direction,split,thesis_inv_thr,n,win_rate,avg_net,total_net,pf,hard_stop%,thesis_inv%,avg_bars
C1,long,IS,-0.005,714,46.6,-0.0443,-31.64,0.73,4.1,8.8,28.1
C1,long,OOS,-0.005,303,49.5,-0.0552,-16.738,0.72,7.6,9.9,27.5
C1,long,IS,-0.007,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.007,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,-0.008,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.008,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,-0.01,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.01,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,-0.012,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.012,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,-0.015,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.015,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,-0.02,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.02,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,-0.025,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,-0.025,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
C1,long,IS,OFF,714,47.2,-0.0469,-33.493,0.72,10.2,0.0,28.6
C1,long,OOS,OFF,303,50.5,-0.0526,-15.941,0.74,13.9,0.0,28.1
