family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
P1-10,long,IS,-0.003,0.6,346,53.2,-0.0563,-19.48,0.79,53.8,44.0,0.0,0.0,36.0,0.0,21.0
P1-10,long,OOS,-0.003,0.6,146,52.7,-0.086,-12.56,0.71,47.0,46.0,0.0,0.0,40.0,0.0,14.0
P1-10,long,IS,-0.003,0.8,346,56.1,-0.0657,-22.73,0.77,57.7,47.0,0.0,0.0,31.0,0.0,22.0
P1-10,long,OOS,-0.003,0.8,146,54.1,-0.1073,-15.66,0.66,51.9,47.0,0.0,0.0,36.0,0.0,16.0
P1-10,long,IS,-0.003,1.0,346,57.8,-0.0641,-22.17,0.78,61.1,49.0,0.0,0.0,28.0,0.0,24.0
P1-10,long,OOS,-0.003,1.0,146,54.8,-0.1269,-18.53,0.63,54.8,49.0,0.0,0.0,32.0,0.0,19.0
P1-10,long,IS,-0.003,1.3,346,58.7,-0.0697,-24.11,0.76,64.6,49.0,0.0,0.0,24.0,0.0,27.0
P1-10,long,OOS,-0.003,1.3,146,55.5,-0.1194,-17.43,0.65,59.1,50.0,0.0,0.0,27.0,0.0,23.0
P1-10,long,IS,-0.003,1.5,346,58.7,-0.074,-25.6,0.75,65.7,49.0,0.0,0.0,21.0,0.0,30.0
P1-10,long,OOS,-0.003,1.5,146,55.5,-0.1362,-19.89,0.61,59.9,50.0,0.0,0.0,25.0,0.0,25.0
P1-10,long,IS,-0.003,2.0,346,58.7,-0.0877,-30.35,0.72,67.4,49.0,0.0,0.0,18.0,0.0,32.0
P1-10,long,OOS,-0.003,2.0,146,56.2,-0.1233,-18.0,0.65,63.3,51.0,0.0,0.0,21.0,0.0,28.0
P1-10,long,IS,-0.005,0.6,346,53.2,-0.0563,-19.48,0.79,53.8,44.0,0.0,0.0,36.0,0.0,21.0
P1-10,long,OOS,-0.005,0.6,146,52.7,-0.086,-12.56,0.71,47.0,46.0,0.0,0.0,40.0,0.0,14.0
P1-10,long,IS,-0.005,0.8,346,56.1,-0.0657,-22.73,0.77,57.7,47.0,0.0,0.0,31.0,0.0,22.0
P1-10,long,OOS,-0.005,0.8,146,54.1,-0.1073,-15.66,0.66,51.9,47.0,0.0,0.0,36.0,0.0,16.0
P1-10,long,IS,-0.005,1.0,346,57.8,-0.0641,-22.17,0.78,61.1,49.0,0.0,0.0,28.0,0.0,24.0
P1-10,long,OOS,-0.005,1.0,146,54.8,-0.1269,-18.53,0.63,54.8,49.0,0.0,0.0,32.0,0.0,19.0
P1-10,long,IS,-0.005,1.3,346,58.7,-0.0697,-24.11,0.76,64.6,49.0,0.0,0.0,24.0,0.0,27.0
P1-10,long,OOS,-0.005,1.3,146,55.5,-0.1194,-17.43,0.65,59.1,50.0,0.0,0.0,27.0,0.0,23.0
P1-10,long,IS,-0.005,1.5,346,58.7,-0.074,-25.6,0.75,65.7,49.0,0.0,0.0,21.0,0.0,30.0
P1-10,long,OOS,-0.005,1.5,146,55.5,-0.1362,-19.89,0.61,59.9,50.0,0.0,0.0,25.0,0.0,25.0
P1-10,long,IS,-0.005,2.0,346,58.7,-0.0877,-30.35,0.72,67.4,49.0,0.0,0.0,18.0,0.0,32.0
P1-10,long,OOS,-0.005,2.0,146,56.2,-0.1233,-18.0,0.65,63.3,51.0,0.0,0.0,21.0,0.0,28.0
P1-10,long,IS,-0.007,0.6,346,53.2,-0.0563,-19.48,0.79,53.8,44.0,0.0,0.0,36.0,0.0,21.0
P1-10,long,OOS,-0.007,0.6,146,52.7,-0.086,-12.56,0.71,47.0,46.0,0.0,0.0,40.0,0.0,14.0
P1-10,long,IS,-0.007,0.8,346,56.1,-0.0657,-22.73,0.77,57.7,47.0,0.0,0.0,31.0,0.0,22.0
P1-10,long,OOS,-0.007,0.8,146,54.1,-0.1073,-15.66,0.66,51.9,47.0,0.0,0.0,36.0,0.0,16.0
P1-10,long,IS,-0.007,1.0,346,57.8,-0.0641,-22.17,0.78,61.1,49.0,0.0,0.0,28.0,0.0,24.0
