family,direction,split,regime_mult,effective_stop,n,win_rate,avg_net,total_net,pf,hard_stop%,avg_bars
P1-9,long,IS,0.6,0.42,251,43.8,0.0097,2.426,1.04,39.4,23.9
P1-9,long,OOS,0.6,0.42,160,51.9,0.0183,2.931,1.08,36.9,22.8
P1-9,long,IS,0.8,0.56,251,48.6,0.0362,9.078,1.15,27.1,26.6
P1-9,long,OOS,0.8,0.56,160,54.4,0.0139,2.226,1.06,29.4,24.5
P1-9,long,IS,1.0,0.7,251,49.0,0.026,6.538,1.1,19.5,27.6
P1-9,long,OOS,1.0,0.7,160,55.0,-0.0016,-0.249,0.99,23.1,25.6
P1-9,long,IS,1.2,0.84,251,49.4,0.0218,5.46,1.08,15.9,28.2
P1-9,long,OOS,1.2,0.84,160,55.0,-0.007,-1.119,0.97,18.1,26.8
P1-9,long,IS,1.3,0.91,251,49.4,0.0153,3.844,1.06,13.5,28.4
P1-9,long,OOS,1.3,0.91,160,55.6,-0.0129,-2.068,0.95,16.9,27.4
P1-9,long,IS,1.5,1.05,251,49.8,0.0201,5.047,1.07,9.2,29.1
P1-9,long,OOS,1.5,1.05,160,56.2,0.016,2.558,1.06,11.9,28.2
P1-9,long,IS,1.8,1.26,251,49.8,0.0223,5.598,1.08,6.0,29.4
P1-9,long,OOS,1.8,1.26,160,56.2,0.0198,3.165,1.08,8.1,29.0
P1-9,long,IS,2.0,1.4,251,49.8,0.0289,7.263,1.11,2.8,29.7
P1-9,long,OOS,2.0,1.4,160,56.2,0.0229,3.67,1.09,5.0,29.3
