family,direction,split,thesis_inv_thr,n,win_rate,avg_net,total_net,pf,hard_stop%,thesis_inv%,avg_bars
P1-9,long,IS,-0.005,251,48.6,0.0253,6.345,1.1,11.2,13.1,26.7
P1-9,long,OOS,-0.005,160,53.8,0.0017,0.274,1.01,13.1,14.4,24.5
P1-9,long,IS,-0.007,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.007,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,-0.008,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.008,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,-0.01,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.01,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,-0.012,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.012,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,-0.015,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.015,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,-0.02,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.02,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,-0.025,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,-0.025,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
P1-9,long,IS,OFF,251,49.0,0.026,6.538,1.1,19.5,0.0,27.6
P1-9,long,OOS,OFF,160,55.0,-0.0016,-0.249,0.99,23.1,0.0,25.6
