family,direction,split,regime_mult,effective_stop,n,win_rate,avg_net,total_net,pf,hard_stop%,avg_bars
P1-9,short,IS,0.6,0.42,465,50.3,-0.0397,-18.46,0.75,20.0,26.7
P1-9,short,OOS,0.6,0.42,228,45.2,-0.0574,-13.081,0.73,31.1,24.7
P1-9,short,IS,0.8,0.56,465,50.8,-0.044,-20.455,0.73,12.9,28.0
P1-9,short,OOS,0.8,0.56,228,46.1,-0.0711,-16.219,0.69,25.0,25.9
P1-9,short,IS,1.0,0.7,465,51.2,-0.0398,-18.489,0.76,7.5,28.8
P1-9,short,OOS,1.0,0.7,228,46.5,-0.0946,-21.578,0.63,21.5,26.8
P1-9,short,IS,1.2,0.84,465,51.4,-0.039,-18.119,0.76,5.8,29.2
P1-9,short,OOS,1.2,0.84,228,46.9,-0.0922,-21.016,0.64,14.9,27.6
P1-9,short,IS,1.3,0.91,465,51.4,-0.0399,-18.533,0.76,5.2,29.3
P1-9,short,OOS,1.3,0.91,228,47.4,-0.0834,-19.016,0.66,11.8,28.1
P1-9,short,IS,1.5,1.05,465,51.4,-0.0398,-18.517,0.76,3.0,29.6
P1-9,short,OOS,1.5,1.05,228,47.8,-0.0707,-16.109,0.7,7.9,28.8
P1-9,short,IS,1.8,1.26,465,51.4,-0.0414,-19.232,0.75,1.7,29.7
P1-9,short,OOS,1.8,1.26,228,48.2,-0.0597,-13.614,0.74,3.9,29.4
P1-9,short,IS,2.0,1.4,465,51.4,-0.0378,-17.57,0.77,1.1,29.8
P1-9,short,OOS,2.0,1.4,228,48.2,-0.0595,-13.555,0.74,3.1,29.5
