family,direction,split,thesis_inv_thr,n,win_rate,avg_net,total_net,pf,hard_stop%,thesis_inv%,avg_bars
P1-9,short,IS,0.005,465,50.8,-0.0423,-19.656,0.74,3.0,7.7,28.2
P1-9,short,OOS,0.005,228,46.1,-0.0743,-16.942,0.68,7.5,17.1,25.9
P1-9,short,IS,0.007,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.007,228,46.5,-0.0939,-21.417,0.63,21.1,0.4,26.8
P1-9,short,IS,0.008,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.008,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
P1-9,short,IS,0.01,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.01,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
P1-9,short,IS,0.012,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.012,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
P1-9,short,IS,0.015,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.015,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
P1-9,short,IS,0.02,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.02,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
P1-9,short,IS,0.025,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,0.025,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
P1-9,short,IS,OFF,465,51.2,-0.0398,-18.489,0.76,7.5,0.0,28.8
P1-9,short,OOS,OFF,228,46.5,-0.0946,-21.578,0.63,21.5,0.0,26.8
