family,direction,mfe_floor_ratio,n,win_rate,avg_net,pf,hard_stop%
P1-10,short,0.0,246,49.2,-0.034,0.82,46.0
P1-10,short,0.2,246,49.2,-0.034,0.82,46.0
P1-10,short,0.3,246,49.2,-0.034,0.82,46.0
P1-10,short,0.4,246,49.2,-0.034,0.82,46.0
P1-10,short,0.5,246,49.2,-0.034,0.82,46.0
P1-10,short,0.6,246,49.2,-0.034,0.82,46.0
P1-10,short,0.7,246,49.2,-0.034,0.82,46.0
P1-10,short,0.8,246,49.2,-0.034,0.82,46.0
P1-10,short,1.0,246,49.2,-0.034,0.82,46.0
P1-8,short,0.0,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.2,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.3,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.4,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.5,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.6,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.7,246,63.0,-0.0527,0.79,35.0
P1-8,short,0.8,246,63.0,-0.0527,0.79,35.0
P1-8,short,1.0,246,63.0,-0.0527,0.79,35.0
P1-11,short,0.0,247,63.2,0.0225,1.1,11.0
P1-11,short,0.2,247,63.2,0.0225,1.1,11.0
P1-11,short,0.3,247,63.2,0.0225,1.1,11.0
P1-11,short,0.4,247,63.2,0.0225,1.1,11.0
P1-11,short,0.5,247,63.2,0.0225,1.1,11.0
P1-11,short,0.6,247,63.2,0.0225,1.1,11.0
P1-11,short,0.7,247,63.2,0.0225,1.1,11.0
P1-11,short,0.8,247,63.2,0.0225,1.1,11.0
P1-11,short,1.0,247,63.2,0.0225,1.1,11.0
